Band Name,Time,Genre,Address,latitude,longitude
The Ruth & Ben String Band,2:00pm – 3:00pm,Bluegrass,28R Cherry St ,42.4648524,-70.9317947
The Shirts and Shoes,2:00pm – 4:00pm,Rock,55 Alpine Street ,42.3928688,-71.1088944
The Splinters,2:00pm – 4:00pm,Bluegrass,11 Crocker Street ,-37.5547823,143.8203685
The Steve Walther Orchestra,2:00pm – 4:00pm,Jazz,44 Linden Ave ,42.4806308,-70.8930151
The Upstairs Neighbors,2:00pm – 4:00pm,Bluegrass,27 Linden Ave ,42.0002917,-73.8775184
The Velvet Dirtmunchers,2:00pm – 4:00pm,World,116 Porter St ,42.3731685,-71.035997
The Vintage Mintys,2:00pm – 4:00pm,Rock,53 Hudson St ,41.7742175,-72.6049449
The Ways and Means Committee,2:00pm – 4:00pm,Rock,41 Banks St ,42.3920883,-71.1169999
the YaG's,2:00pm – 4:00pm,Rock,12 Adams St ,42.0622744,-71.2126952
The Yips,2:00pm – 4:00pm,Indie,48 Hancock St ,42.3692275,-71.1674776
Timber Timbre,2:00pm – 4:00pm,,87 Highland Rd ,42.3972642,-71.1117327
Tong & FindingHannah b2b Eyeconic,2:00pm – 4:00pm,Electronic,52 Alpine St ,44.216635,-70.52787
Trip Report/ Joe Tagz,2:00pm – 4:00pm,Electronic,38 Benton Rd ,42.3881308,-71.1061313
Trivia Dogs,2:00pm – 4:00pm,Pop,17 Lexington Ave ,40.7390855,-73.9845071
we broke the weather,2:00pm – 4:00pm,Rock,32 Lexington Ave ,-33.7988802,150.8010403
"Weird Frenz, Cousin Louis and The W…",2:00pm – 4:00pm,Indie,56 Vernon St ,42.573381,-71.8409898
Weston and Amelia Wright Band,2:00pm – 4:00pm,Country,98 Hudson St ,41.2851598,-72.8691069
WhaleShark,2:00pm – 3:00pm,Rock,6 Hancock St ,42.5129473,-70.8930557
Wilf,2:00pm – 4:00pm,Singer/songwriter,8 Steeves Circle ,42.3910536,-71.1150345
Winter Hillbillies,2:00pm – 4:00pm,Americana,31 Adams Street ,42.5850937,-71.8001482
Winter To Spring,2:00pm – 4:00pm,Indie,51 Ibbetson St ,42.3863772,-71.1110718
WonderBox,2:00pm – 4:00pm,Rock,85 Lexington Ave ,40.6869602,-73.9586723
Worry Dolls,2:00pm – 4:00pm,Rock,33 Hancock St ,42.201698,-71.0053466
Wrongdog,2:00pm – 3:30pm,Indie,48 Morrison Ave ,42.500443,-71.0898175
Your Friends in Hell,2:00pm – 4:00pm,Punk,29 Hancock Street ,42.2822963,-71.0386438
Conjeal,2:15pm – 3:00pm,Rock,23 Monmouth St ,51.4398911,-2.5829301
Dirty Water Brass Band,2:15pm – 3:45pm,Pop,8 Cedar Avenue ,57.1946156,-2.176539
Miss Jade Rock,2:15pm – 3:15pm,"Folk, Pop",73 Pearson Ave ,42.396912,-71.1111532
SHY HUSKY,2:15pm – 3:45pm,"Indie, Pop, Punk, Rock",36 Linden Ave ,42.4810219,-70.8927958
"ITBAND, Kerosene",2:20pm – 3:30pm,Indie,119 Albion St ,41.6838931,-71.5170094
Die Nacktschnecken,2:30pm – 4:00pm,,31 Trull Street ,42.394043,-71.1040982
Kind Sir,2:30pm – 4:00pm,Rock,"19 Spring Hill Terrace, Somerville MA ",42.3883937,-71.1078201
Spats Riley,2:30pm – 4:00pm,Americana,19 CRAIGIE ST ,42.3787864,-71.1283339
Alex Brown Band,3:00pm – 4:00pm,Pop,35 Rogers Ave ,40.8871649,-72.3810133
Coffee Bong,3:00pm – 4:00pm,Rock,23 Monmouth St ,51.4398911,-2.5829301
I Want A Cat,3:00pm – 4:00pm,Rock,28R Cherry St ,42.4648524,-70.9317947
Luke Curran,3:00pm – 4:00pm,,23 Conwell St ,34.8367059,-82.4151833
Mary P. & The Friendly Friends,3:00pm – 4:00pm,Folk,44 Morrison Ave ,46.4766918,-81.0254251
Powderhouse  - Solo,3:00pm – 4:00pm,Indie,10 Lowell Terrace ,42.4190349,-71.0593399
Purple Corn,3:00pm – 4:00pm,Pop,29 Cambria St ,40.3440155,-78.8892641
Shifty McGifty and Maybe Friends,3:00pm – 4:00pm,Singer/songwriter,78 Pearson Ave ,42.397152,-71.1114332
The Fish from Somerville,3:00pm – 4:00pm,Rock,42 Glenwood Rd ,40.819996,-73.6453416
The Tom Springer Band,3:00pm – 4:00pm,Rock,46 Rogers Ave ,42.1510004,-72.7315287
Vinyl Street A Cappella,3:00pm – 4:00pm,Pop,84 Rogers Ave ,43.178508,-78.6739673
Julia Marcus,3:05pm – 4:00pm,Singer/songwriter,41 Vernon Street ,42.3543905,-71.1812881
4/4 Send,4:00pm – 4:30pm,Pop,47 Perry St ,40.7357795,-74.0030955
Above Water,4:00pm – 6:00pm,Rock,41 Mount Vernon St ,42.5175665,-70.8987174
Acid Basket,4:00pm – 6:00pm,Electronic,47 GREENVILLE STREET ,42.3820341,-71.0933572
Alba And The Hellcats,4:00pm – 6:00pm,"Funk, Jazz, Rock",215 Washington Street ,42.160088,-71.2179889
Avanza Pop Flamenco,4:00pm – 6:00pm,World,19 Buckingham St ,50.8285476,-0.143048
"Backseat Cadillac, Tobyraps, & the…",4:00pm – 6:00pm,"Country, Hip hop, Rock",16 Lincoln Pkwy ,42.3778329,-71.0985563
Bahloul,4:00pm – 6:00pm,World,3 Calvin St ,41.0242726,-72.1744976
Baker Thomas Band,4:00pm – 6:00pm,Americana,58 Fellsway W ,42.392505,-71.0882564
Best Ever Chicken,4:00pm – 4:50pm,Americana,37 Stone Ave ,42.3807749,-71.0947414
Big Mess,4:00pm – 6:00pm,Rock,32 Crescent St ,42.467861,-70.9288972
Big Rav,4:00pm – 6:00pm,Rock,15 Bolton St ,51.5072948,-0.1444115
Biggest Beast,4:00pm – 6:00pm,Folk,25 Delaware St ,39.2094086,-81.5426333
Can O Worms,4:00pm – 6:00pm,Rock,2 Village Terrace ,42.3808366,-71.1048869
Ceallaigh Reddy,4:00pm – 6:00pm,Folk,84 Avon St ,52.4185679,-1.4717922
Clovis,4:00pm – 5:00pm,Rock,155 Sycamore St ,41.6671988,-72.9119992
Code Blue,4:00pm – 6:00pm,Rock,10 Prospect St ,42.3682158,-72.6058095
Confidential Teatime,4:00pm – 6:00pm,Folk,11 Beacon St ,42.5118299,-70.8453715
Conical Cacophany and Red Drum,4:00pm – 6:00pm,World,22 Prospect Hill Ave ,42.3811992,-71.0921446
Conor K. & Rich Pin,4:00pm – 4:50pm,Americana,42 Flint St ,42.5717017,-71.0299654
Copilot,4:00pm – 6:00pm,Rock,75 Marshall Street ,-31.4972116,145.8333991
"Dave, Hooper & Friends",4:00pm – 6:00pm,Rock,25 Munroe Street ,-39.4947692,176.9134487
Deep Cuts,4:00pm – 6:00pm,Rock,62 Preston Rd ,51.803561,1.1874986
Dewpoint,4:00pm – 6:00pm,,16 Douglas Ave ,43.036805,-74.9922029
DJ Adrock,4:00pm – 5:00pm,Electronic,32 Clark St ,42.5388076,-71.770771
DJ Arts & Crafts Presents: HOT GLUE,4:00pm – 6:00pm,Electronic,80 Prospect St ,42.3764301,-72.6088915
Etheroma,4:00pm – 4:40pm,Indie,22 Oxford Street ,-32.926282,151.7137381
Field & Bug Porchfest Band,4:00pm – 5:00pm,Rock,251 Washington St ,30.3056793,-89.3364217
fresh meat,4:00pm – 6:00pm,Electronic,111 Cross Street ,41.6783923,-69.9603845
Galaxy Cake,4:00pm – 4:45pm,Rock,25 Willoughby St ,46.5278823,-84.3144961
Gale the Band,4:00pm – 6:00pm,Americana,33 Avon St ,45.072019,-64.1771922
Goatsbeard,4:00pm – 6:00pm,Indie,92 Concord Ave ,42.3757314,-71.1013087
Hanchett,4:00pm – 6:00pm,Punk,25 Lewis St ,43.2409534,-79.7863856
Handle Slide & friends,4:00pm – 6:00pm,Americana,34 Laurel Street ,42.4577845,-73.2090143
Happy Little Clouds and Crow Follow,4:00pm – 6:00pm,Rock,21 Aldersey St ,42.3835971,-71.0971619
Hebb and Vets,4:00pm – 6:00pm,"Rock, Singer/songwriter",63 Marshall Street ,42.389917,-71.0949248
Hot Cousin,4:00pm – 5:00pm,Rock,51 Laurel St ,41.782846,-72.6239939
"Hyperfix, Layzi, and Viruette",4:00pm – 6:00pm,Indie,40 Laurel St ,42.366281,-71.1639679
Identity Crisis,4:00pm – 6:00pm,Indie,45 Parkdale St ,34.5385011,-90.6425339
Indigo,4:00pm – 5:00pm,Pop,10 Magnus Ave ,42.3786992,-71.1032986
Intersystem Crossing,4:00pm – 6:00pm,Rock,11 Lewis St ,42.2461467,-71.8111682
Invisible Animals,4:00pm – 6:00pm,Rock,4 Century Street ,38.4317999,-77.4244881
Jamming by the Spoonful,4:00pm – 5:15pm,Pop,51 Heath St ,51.4728978,-2.5611126
Jenevieve and the Boak Brothers,4:00pm – 5:00pm,Pop,9 Bolton St ,-32.0378777,115.7630517
Johnnie and the Foodmasters,4:00pm – 6:00pm,Punk,41 Sycamore Street ,42.1573318,-70.9917756
Jonny Fufu Band,4:00pm – 6:00pm,Rock,17 Hamlet St ,41.6451474,-70.8626282
Joy Ministry,4:00pm – 5:00pm,,30 Everett Ave ,42.4442909,-71.1479016
Lady in the Radiator,4:00pm – 6:00pm,"Electronic, Metal, Punk, Rock",12a Kensington Ave ,43.6530778,-79.400747
Linnea's Garden with special guests…,4:00pm – 6:00pm,Rock,32 Stone Avenue ,42.2545417,-71.4668543
Litch's Estate,4:00pm – 6:00pm,Rock,46 Florence St ,53.0142685,-2.2256105
Live Code Boston,4:00pm – 6:00pm,Electronic,34 Skehan St ,42.3796428,-71.1059873
Locust,4:00pm – 6:00pm,Rock,39 Thurston St ,42.3847788,-71.0059542
Lunch Mother & Otis Grove,4:00pm – 6:00pm,Rock,440R Somerville Ave ,42.3817971,-71.1023309
MATT MARAUDER,4:00pm – 6:00pm,Electronic,2 Quincy St ,42.7608041,-71.461607
Maya Dryden,4:00pm – 6:00pm,Singer/songwriter,19 Virginia St ,40.7700999,-111.85245
Mental States,4:00pm – 6:00pm,Jazz,11 Pembroke Street ,-33.7717208,151.0846062
Mercedes Escobar featuring The Koss…,4:00pm – 6:00pm,Folk,25 Bow St ,41.6459863,-71.4836144
Michaela Kelly,4:00pm – 6:00pm,Pop,103 Marion St ,-33.9175774,151.0254797
Midnight Gardeners,4:00pm – 6:00pm,Folk,16 Knapp St ,40.5943801,-74.1632328
Midnight Motion,4:00pm – 5:15pm,Funk,7 Tower Ct ,-37.9819276,145.1902713
Mighty Smooth,4:00pm – 6:00pm,Rock,12 Webster Street ,42.6195416,-70.6506559
Mixed G,4:00pm – 5:30pm,Rock,32 Madison St ,42.4237612,-71.1329677
Mizz Kitsune,4:00pm – 6:00pm,Electronic,8 Howe St ,42.2628406,-71.0401895
Mutual Beef,4:00pm – 6:00pm,Jazz,58 Dane St ,42.5493924,-70.8726533
,4:00pm – 6:00pm,,29 Central St ,44.8022123,-68.7712743
Next Step,4:00pm – 6:00pm,Singer/songwriter,8 Calvin St ,43.162524,-79.236875
No Koudai,4:00pm – 6:00pm,Electronic,545 McGrath Hwy ,42.3862125,-71.0904363
North Street Collective,4:00pm – 5:30pm,Jazz,29 Tennyson St ,53.5699995,-0.0881261
Otis Shanty,4:00pm – 6:00pm,Indie,71 Boston St ,39.6051296,-80.9310736
Pacer Test,4:00pm – 5:00pm,Indie,30 Adrian St ,-38.1272532,145.2982484
Patchwork & Private Dancer // Marti…,4:00pm – 6:00pm,Electronic,70 Line St ,42.0779053,-72.6493397
plastic Hamster,4:00pm – 6:00pm,Indie,53 Columbus Ave ,37.7959259,-122.404383
Pluto's Return,4:00pm – 6:00pm,Rock,101 Munroe St ,36.8257452,-82.4703131
Porch Fest All Stars,4:00pm – 6:00pm,Americana,41 Dartmouth St ,41.6454932,-70.865236
Postmoral,4:00pm – 6:00pm,Punk,50 Prescott St ,42.3813258,-71.7761437
Rich Murphy and Mary Moore,4:00pm – 6:00pm,Singer/songwriter,14 Hawkins Street ,-27.9938303,152.9999272
Ricky Cheese + Bent Luck + Combo Meal,4:00pm – 6:00pm,"Funk, Indie, Jazz, Pop, Punk…",34 Crescent St ,42.3700841,-71.7860222
Rockin George,4:00pm – 6:00pm,Blues,54 Sydney Street ,51.4905845,-0.1706821
RogerRoger,4:00pm – 6:00pm,Americana,7 Sargent Ave ,42.3913618,-71.0926219
Saklamara,4:00pm – 6:00pm,World,43 Springfield St ,42.6992245,-71.1571354
Sam Trottenberg,4:00pm – 6:00pm,Folk,312 Washington St ,42.1564515,-71.2202539
Sean Atch Music + Daddy and the Boy…,4:00pm – 6:00pm,,9 Summit Ave ,42.3415054,-71.1261489
Shiny Disco Balls,4:00pm – 6:00pm,"Bluegrass, Funk, Hip hop, Rock",74 Newton Street ,53.2560924,-2.130855
Similar Jones,4:00pm – 6:00pm,Pop,5 Bigelow St ,41.7737727,-72.6396764
Singer-Songwriters & Musical Comedy…,4:00pm – 6:00pm,Singer/songwriter,10 Austin St ,-37.7582126,144.8040564
Skaleton Crew,4:00pm – 4:45pm,Punk,88 Oxford St ,52.4091774,-1.4934984
Skyrise Coast,4:00pm – 6:00pm,"Indie, Pop",10 Indiana Ave ,38.7847848,-75.1482028
So Many Knobs,4:00pm – 6:00pm,Rock,9 Oakland Ave ,41.6538292,-71.074973
Spoondrift,4:00pm – 6:00pm,"Americana, Rock",9 Concord Ave ,42.3782196,-71.1229047
Static Tension,4:00pm – 6:00pm,Rock,51 Avon St ,52.4174868,-1.4763494
Stickney Crüe,4:00pm – 5:30pm,Rock,10 Stickney Avenue ,42.3888634,-71.0959873
Terminator,4:00pm – 6:00pm,Electronic,76 Columbus Ave ,42.3097034,-72.6314709
the black souls,4:00pm – 6:00pm,R&B,33 Adrian St ,-38.1268576,145.2978535
The Cherry Fog / Pledge Pins / The…,4:00pm – 6:00pm,Rock,20 Waldo Ave ,42.3767553,-71.1038738
the drills,4:00pm – 5:00pm,Indie,74 Jaques St ,42.3946399,-71.0928853
The Goonie Birds,4:00pm – 6:00pm,Folk,9 Sellon Pl ,42.3893121,-71.0955222
The Grownup Noise,4:00pm – 6:00pm,Indie,32 Prescott st. ,47.5671397,-52.7063526
The Lights Out,4:00pm – 4:45pm,Rock,25 Willoughby St ,46.5278823,-84.3144961
The Limit,4:00pm – 6:00pm,Pop,10 Magnus Ave ,42.3786992,-71.1032986
The Magnus Quintet,4:00pm – 6:00pm,Jazz,77 Avon St ,52.4176348,-1.4750949
The Massive Letdowns,4:00pm – 6:00pm,"Folk, Indie, Pop, Rock, Singer/songwriter",67 Putnam St ,40.9193299,-73.8429501
The Massters,4:00pm – 6:00pm,Rock,16 Washington Terrace ,42.3800008,-71.0923572
The Melted Chapsticks,4:00pm – 6:00pm,Punk,515 Somerville Ave ,42.3833517,-71.1058717
The New Grown-Ups,4:00pm – 6:00pm,World,84 Oxford St ,43.153468,-79.199885
The nogs,4:00pm – 6:00pm,World,20 AVON ST ,-38.1403621,144.3383774
The Proper Lovers,4:00pm – 6:00pm,"Jazz, Rock",8 Otis St ,42.5681091,-70.9471633
The Punk Monk,4:00pm – 6:00pm,World,21 Vinal Ave ,40.5107609,-74.4094416
The Recliners,4:00pm – 6:00pm,Folk,47 Columbus Ave ,42.7872015,-73.6984222
The Revolution will not be Televise…,4:00pm – 6:00pm,Jazz,94 Heath St ,41.7591074,-72.7109578
The Scraps,4:00pm – 4:45pm,Rock,39 Bond Street ,40.7259674,-73.9933299
The Shallows,4:00pm – 5:00pm,Indie,70 Oxford St ,53.4744288,-2.2412141
The Spackles,4:00pm – 6:00pm,Americana,170 Sycamore Street ,42.3847726,-71.1945447
The Strap,4:00pm – 5:00pm,Rock,32 Clark St ,42.5388076,-71.770771
The Till,4:00pm – 5:45pm,Rock,79 Flint Street ,41.0590813,-111.9745989
The Tripps,4:00pm – 6:00pm,Funk,11 Sanborn Ct ,42.3801073,-71.0944706
The Zajac Brothers Band,4:00pm – 6:00pm,Rock,6 Pembroke Ct ,53.3527158,-2.6701812
Three at Home,4:00pm – 6:00pm,Rock,16 Lee St ,40.8311289,-73.4375059
Untidy,4:00pm – 6:00pm,"Indie, Rock",71 Marion St ,42.378508,-71.0377296
VibeCHK,4:00pm – 6:00pm,Electronic,34 Oxford St ,-44.3967627,171.2310451
Ward Hayden and the Outliers,4:00pm – 5:30pm,"Americana, Country",10 Bigelow St ,41.7736441,-72.6392144
Where's Waldo Audiobook,4:00pm – 6:00pm,Funk,72 Joy St ,42.6178917,-71.4065175
YellowShed,4:00pm – 6:00pm,Jazz,10 Stone Pl ,42.380361,-71.0948487
Jim's Big Ego,4:01pm – 5:59pm,Singer/songwriter,74 Sycamore St ,30.4448233,-90.0922822
The Galvanics,4:10pm – 6:00pm,Rock,45 Skehan Street ,42.3797804,-71.1065926
The Orrs,4:10pm – 6:00pm,Rock,88 Gilman Street ,43.6545116,-70.2786945
Bird Language,4:15pm – 5:00pm,Indie,70 Union Square ,42.3799233,-71.0951232
Nick and the Dads,4:15pm – 5:45pm,Rock,45 Oliver St ,42.3839921,-71.0878326
The Fisticuffs,4:15pm – 4:45pm,"Indie, Metal, Punk",102 Sycamore Street ,42.3918022,-71.0993105
Eric G,4:20pm – 6:00pm,Electronic,41 Columbus Ave ,42.5328919,-70.8711272
SCROD,4:20pm – 4:45pm,Punk,5 Rose St ,53.7019611,-2.6849599
Chef Dumbbirch,4:30pm – 5:00pm,Rock,6 Webster St ,53.0074879,-2.2212222
costume party,4:30pm – 6:00pm,Pop,14 Madison St ,40.749066,-73.035438
Crossing the Line,4:30pm – 6:00pm,Funk,30 Line St ,42.0787508,-72.6494751
CuraSón,4:30pm – 6:00pm,Latin,63 Merriam St ,42.0722911,-72.5137061
GLUTTY,4:30pm – 5:10pm,Punk,31 Stone Ave ,42.3805892,-71.0949117
Mada Silva,4:30pm – 6:00pm,Singer/songwriter,33 Hamlet St ,41.6427021,-70.8613507
Nightblinders,4:30pm – 5:30pm,Rock,54 Prescott St ,42.4201004,-71.1270115
School of HONK,4:30pm – 6:00pm,Pop,290 Washington Street ,42.3788778,-71.0988533
Sean's Basement,4:30pm – 5:30pm,Rock,82 Concord Avenue ,42.1768225,-71.2109589
SheBoom,4:30pm – 6:00pm,World,41 Munroe St ,42.3815706,-71.0927947
Stars in Debt,4:30pm – 5:30pm,"Indie, Rock",10 Prospect Hill Ave ,42.3815757,-71.0911212
The Moonbeams Duo,4:30pm – 5:30pm,Folk,23 Summit Ave ,41.2644861,-72.8678212
Viper's Jive,4:30pm – 6:00pm,Rock,51 Bow Street ,42.3817305,-71.0986376
Orbiter,4:45pm – 5:15pm,Rock,5 Rose St ,53.7019611,-2.6849599
Alfredo Thunder,5:00pm – 6:00pm,Rock,42 Flint St ,42.5717017,-71.0299654
Ambitchous,5:00pm – 6:00pm,Pop,32 Clark Street ,42.5642964,-70.9499028
BOB,5:00pm – 6:00pm,"Blues, Country, Indie",18 Dell St ,42.3829097,-71.0887464
Buck Lonesome & The Table For One,5:00pm – 6:00pm,Country,22 Oxford St ,-46.0921585,168.9560547
Double Star,5:00pm – 6:00pm,Rock,88 Oxford Street ,43.6559106,-79.4044873
Five Year Plan,5:00pm – 6:00pm,Americana,82 Munroe St ,42.3823669,-71.0947055
Gold Hoax,5:00pm – 6:00pm,Rock,155 Sycamore St ,41.6671988,-72.9119992
Nigun Saloon,5:00pm – 6:00pm,World,8 Leon Street ,42.3758531,-71.1007549
OS! & The Punctuation,5:00pm – 6:00pm,Hip hop,4 Olive Square ,42.3799141,-71.0985294
Ruin The Nite,5:00pm – 6:00pm,Rock,70 Union Square ,42.3799233,-71.0951232
Heather Mumford Project,5:10pm – 6:00pm,Americana,37 Stone Ave ,42.3807749,-71.0947414
